user ID,user__created_date,country,age,num_messages,num_active_days
154,2/17/2024,Nigeria,17,326,2
155,12/25/2023,Nigeria,15,38,1
156,4/10/2024,South Africa,0,233,3
157,1/5/2024,South Africa,16,123,3
158,4/6/2024,Ghana,16,184,4
159,3/2/2024,Nigeria,16,333,4
160,3/3/2024,Nigeria,13,307,3
161,4/9/2023,Nigeria,0,106,2
162,2/16/2024,South Africa,16,315,2
163,2/18/2024,Ghana,13,179,2
164,1/1/2024,Kenya,15,102,5
165,12/23/2023,Nigeria,17,207,4
166,4/7/2024,Nigeria,19,388,4
167,3/29/2024,Mozambique,18,246,3
168,4/8/2024,Ghana,17,277,2
169,2/29/2024,Ghana,22,350,2
170,2/2/2024,Uganda,20,430,3
171,6/5/2023,Nigeria,17,428,3
172,3/20/2024,Nigeria,16,480,3
173,3/21/2024,Ghana,16,189,4
174,2/21/2024,Nigeria,18,184,1
175,3/22/2024,Mozambique,0,179,2
176,4/24/2024,Ghana,17,195,5
177,2/18/2024,South Africa,19,426,1
178,3/7/2024,Nigeria,21,570,2
179,1/7/2024,Nigeria,20,512,1
180,4/20/2024,Ghana,18,151,2
181,4/23/2024,Nigeria,13,839,3
182,4/30/2023,Nigeria,0,63,2
183,12/23/2023,Nigeria,15,93,2
184,3/5/2024,Ghana,11,597,5
185,5/6/2023,Nigeria,19,551,5
186,2/2/2024,Nigeria,18,360,1
187,2/28/2023,Nigeria,0,56,1
188,5/10/2023,Nigeria,18,554,6
189,2/18/2024,Ghana,15,241,5
190,2/21/2024,South Africa,15,120,1
191,2/18/2024,Nigeria,16,289,5
192,2/22/2024,South Africa,18,599,2
193,4/8/2023,Nigeria,0,26,2
194,1/29/2023,Ghana,0,171,3
195,5/25/2023,Ghana,0,216,2
196,3/7/2024,Singapore,9,282,2
197,4/7/2024,Nigeria,16,556,2
198,4/8/2024,Kenya,16,299,4
199,4/9/2024,Nigeria,18,190,1
200,2/28/2024,Nigeria,21,151,1
201,5/7/2023,Nigeria,0,128,3
202,6/22/2023,Nigeria,17,64,4
203,3/20/2023,South Africa,25,2635,30
204,1/7/2024,Nigeria,18,288,3
205,3/22/2023,Nigeria,0,121,2
206,2/16/2024,Ghana,15,366,4
207,2/26/2024,Nigeria,16,194,6
208,4/26/2024,Ghana,18,195,3
209,12/19/2023,Ghana,16,627,9
210,5/11/2023,Nigeria,0,179,6
211,7/18/2023,Nigeria,17,91,1
212,2/28/2024,Nigeria,16,300,3
213,2/16/2024,Nigeria,11,247,1
214,2/22/2024,Ghana,22,196,1
215,4/5/2024,Nigeria,16,1533,7
216,6/9/2023,Nigeria,0,663,13
217,2/18/2024,Kenya,18,133,2
218,3/18/2024,Ghana,16,1562,7
219,3/11/2023,Ghana,0,833,9
220,12/31/2023,Ghana,23,1220,6
221,2/4/2024,Ghana,15,229,7
222,2/8/2024,South Africa,19,147,1
223,2/7/2024,Nigeria,19,227,2
224,2/15/2024,Ghana,17,522,1
225,2/15/2024,South Africa,29,199,1
226,2/17/2024,Ghana,13,355,7
227,4/24/2024,Nigeria,15,423,3
